request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
19,BasicRequest,1,360,360,293;-1;-1,2980;-1;-1,,,,,227.05919726434243,2131.6740013473327,0:,,,,,,,,0
26,BasicRequest,1,420,420,598;-1;-1,2980;-1;-1,,,,,83.48690126434244,786.4600013473324,0:t_wait:84.16584493062703;t_drive:113.48690126434246;fare:100,,,0,1,504.1658449306271,617.6527461949695,100,0
10,BasicRequest,1,1080,1080,2830;-1;-1,2980;-1;-1,,,,,258.4833092643424,2431.7030013473322,0:,,,,,,,,0
8,BasicRequest,1,1080,1080,6144;-1;-1,2980;-1;-1,,,,,220.67296526434245,2440.7880013473323,0:,,,,,,,,0
5,BasicRequest,1,1200,1200,4038;-1;-1,2966;-1;-1,,,,,398.59156370960045,2189.4261116575562,0:,,,,,,,,0
22,BasicRequest,1,1200,1200,2667;-1;-1,2966;-1;-1,,,,,214.77453513817187,1443.1981116575562,0:,,,,,,,,0
18,BasicRequest,1,1380,1380,5181;-1;-1,2980;-1;-1,,,,,422.58754012148523,3401.7840013473324,0:,,,,,,,,0
44,BasicRequest,1,1440,1440,4639;-1;-1,2966;-1;-1,,,,,315.82033285245757,2792.0081116575566,0:,,,,,,,,0
48,BasicRequest,1,960,960,1073;-1;-1,2980;-1;-1,,,,,192.30244526434245,2195.4910013473323,0:t_wait:285.23030651351746;t_drive:222.3024452643424;fare:219,,,0,0,1245.230306513517,1467.53275177786,219,0
39,BasicRequest,1,1560,1560,327;-1;-1,2966;-1;-1,,,,,228.93514542388613,1522.5971116575563,0:,,,,,,,,0
31,BasicRequest,1,1800,1800,3017;-1;-1,2980;-1;-1,,,,,208.01756640719958,1602.7340013473324,0:,,,,,,,,0
40,BasicRequest,1,1980,1980,1254;-1;-1,2980;-1;-1,,,,,233.35132526434245,2771.859001347333,0:,,,,,,,,0
29,BasicRequest,1,2040,2040,5219;-1;-1,2966;-1;-1,,,,,212.39854542388616,1896.5461116575566,0:,,,,,,,,0
20,BasicRequest,1,2160,2160,5965;-1;-1,2980;-1;-1,,,,,254.08476537094694,1270.4238268547347,0:,,,,,,,,0
7,BasicRequest,1,2340,2340,4857;-1;-1,2980;-1;-1,,,,,121.22898926434243,1182.6690013473326,0:,,,,,,,,0
1,BasicRequest,1,2460,2460,3460;-1;-1,2966;-1;-1,,,,,160.01165742388613,935.6891116575564,0:,,,,,,,,0
4,BasicRequest,1,2520,2520,227;-1;-1,2980;-1;-1,,,,,203.11698926434244,1942.1630013473327,0:,,,,,,,,0
3,BasicRequest,1,2640,2640,3217;-1;-1,2980;-1;-1,,,,,217.65717326434245,2290.658001347332,0:,,,,,,,,0
35,BasicRequest,1,2760,2760,4189;-1;-1,2966;-1;-1,,,,,189.31692942388614,1643.454111657556,0:,,,,,,,,0
28,BasicRequest,1,2880,2880,290;-1;-1,2980;-1;-1,,,,,235.60775726434247,2850.7810013473327,0:,,,,,,,,0
6,BasicRequest,1,2940,2940,5971;-1;-1,2966;-1;-1,,,,,41.32407762185793,206.62038810928965,0:,,,,,,,,0
25,BasicRequest,1,3000,3000,6043;-1;-1,2966;-1;-1,,,,,327.41473628102904,2898.9411116575566,0:,,,,,,,,0
17,BasicRequest,1,3060,3060,7257;-1;-1,2966;-1;-1,,,,,353.3950311381718,2504.6451116575568,0:,,,,,,,,0
32,BasicRequest,1,3120,3120,345;-1;-1,2980;-1;-1,,,,,193.52104526434246,2314.7120013473323,0:,,,,,,,,0
11,BasicRequest,1,3420,3420,2693;-1;-1,2980;-1;-1,,,,,248.74715726434243,2557.1040013473325,0:,,,,,,,,0
38,BasicRequest,1,3420,3420,2253;-1;-1,2980;-1;-1,,,,,152.0632292643424,968.4350013473324,0:,,,,,,,,0
24,BasicRequest,1,3840,3840,604;-1;-1,2966;-1;-1,,,,,130.73765742388613,829.8531116575564,0:,,,,,,,,0
49,BasicRequest,1,3840,3840,4518;-1;-1,2980;-1;-1,,,,,203.783297835771,1224.1570013473324,0:,,,,,,,,0
16,BasicRequest,1,3840,3840,2405;-1;-1,2980;-1;-1,,,,,224.06404526434244,2469.0470013473323,0:,,,,,,,,0
46,BasicRequest,1,4020,4020,5967;-1;-1,2980;-1;-1,,,,,254.08476537094694,1270.4238268547347,0:,,,,,,,,0
37,BasicRequest,1,4140,4140,3138;-1;-1,2966;-1;-1,,,,,256.38939342388613,2575.0161116575564,0:,,,,,,,,0
47,BasicRequest,1,4320,4320,1861;-1;-1,2980;-1;-1,,,,,170.57946926434244,1996.0790013473325,0:,,,,,,,,0
21,BasicRequest,1,4380,4380,1617;-1;-1,2966;-1;-1,,,,,349.94141056674334,2958.536111657557,0:,,,,,,,,0
27,BasicRequest,1,4380,4380,2060;-1;-1,2980;-1;-1,,,,,106.84758926434242,1018.2920013473324,0:,,,,,,,,0
0,BasicRequest,1,4500,4500,1240;-1;-1,2980;-1;-1,,,,,210.20118926434245,2001.1980013473328,0:,,,,,,,,0
13,BasicRequest,1,4560,4560,5093;-1;-1,2966;-1;-1,,,,,97.14117260359163,485.7058630179581,0:,,,,,,,,0
42,BasicRequest,1,4860,4860,1583;-1;-1,2966;-1;-1,,,,,203.86858885245755,1715.4721116575565,0:,,,,,,,,0
45,BasicRequest,1,4860,4860,3788;-1;-1,2966;-1;-1,,,,,221.84141742388613,1898.3591116575562,0:,,,,,,,,0
2,BasicRequest,1,4920,4920,5554;-1;-1,2966;-1;-1,,,,,276.19925742388614,2850.1531116575566,0:,,,,,,,,0
