sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.0,0.0,0.0,0.0032548904418945312,0,0,0,0,0,0,0.0,0.00351
60,0.0,0.0,0.0,0.0,0.0025987625122070312,0,0,0,0,0,0,0.0,0.00242
120,0.0,0.0,0.0,0.0005261898040771484,0.0015158653259277344,0,0,0,0,0,0,0.0,0.00247
180,0.0,0.06110382080078125,0.0,0.022838592529296875,0.003042936325073242,0,0,12,0,2,0,0.08049,0.08861
240,0.0,0.0,0.018530607223510742,0.0,0.001573801040649414,1,1,1,0,0,2,0.0,0.02115
300,0.0,0.0,0.014657735824584961,0.0,0.0020194053649902344,1,1,1,0,0,2,0.04338,0.01745
360,0.0,0.029575824737548828,0.0066411495208740234,0.04094123840332031,0.003162384033203125,1,1,5,0,1,2,0.09097,0.08104
420,0.0,0.0,0.0015437602996826172,0.0015354156494140625,0.0016019344329833984,2,2,2,0,0,3,0.0,0.00546
480,0.0,0.0,0.0015707015991210938,0.0,0.0015609264373779297,2,2,2,0,0,3,0.0,0.00385
540,0.0,0.0,0.0,0.020569562911987305,0.0025823116302490234,2,2,2,0,0,2,0.0,0.02403
600,0.0,0.0,0.0,0.0,0.003454446792602539,0,0,0,0,0,0,0.0,0.00254
660,0.0,0.0,0.0,0.0,0.0015883445739746094,0,0,0,0,0,0,0.02728,0.00252
720,0.0,0.0,0.0,0.0015475749969482422,0.0015747547149658203,0,0,0,0,0,0,0.0,0.0026
780,0.0,0.0,0.0,0.0,0.0030934810638427734,0,0,0,0,0,0,0.0,0.0027
840,0.0,0.038504838943481445,0.0,0.0005056858062744141,0.0030205249786376953,0,0,5,0,1,0,0.07467,0.04278
900,0.0,0.0,0.0,0.0,0.0031599998474121094,1,1,1,0,0,1,0.06723,0.00299
960,0.0,0.0010166168212890625,0.0,0.0,0.002037525177001953,1,1,1,0,0,1,0.02562,0.00303
1020,0.0,0.0,0.0,0.0,0.0030405521392822266,1,1,1,0,0,1,0.0,0.00311
1080,0.0,0.0,0.0,0.0,0.0015501976013183594,1,1,1,0,0,1,0.06921,0.0031
