sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.0,0.0,0.0,0.0015425682067871094,0,0,0,0,0,0,0.0,0.00249
60,0.0,0.0,0.0,0.0,0.003154754638671875,0,0,0,0,0,0,0.0,0.0025
120,0.0,0.0,0.0,0.0,0.0016672611236572266,0,0,0,0,0,0,0.0,0.00276
180,0.0,0.0,0.0,0.0,0.0025358200073242188,0,0,0,0,0,0,0.0002,0.00255
240,0.0,0.0,0.0,0.0,0.0025377273559570312,0,0,0,0,0,0,0.0,0.00259
300,0.0,0.0,0.0,0.0,0.0015869140625,0,0,0,0,0,0,6e-05,0.00248
360,0.0,0.030466079711914062,0.0,0.001531362533569336,0.0025348663330078125,0,0,4,0,1,0,9e-05,0.03518
420,0.0,0.0,0.0018465518951416016,0.0,0.0015354156494140625,1,1,1,0,0,1,0.0,0.003
480,0.0,0.0,0.0,0.0,0.0015366077423095703,0,0,0,0,0,0,0.0,0.00254
540,0.0,0.0,0.0010156631469726562,0.0,0.0020401477813720703,0,0,0,0,0,0,0.0,0.00252
600,0.0,0.0,0.0,0.0005054473876953125,0.0015256404876708984,0,0,0,0,0,0,0.0,0.00267
660,0.0,0.0,0.0,0.0,0.0014824867248535156,0,0,0,0,0,0,6e-05,0.00252
720,0.0,0.0,0.0,0.0,0.001552581787109375,0,0,0,0,0,0,0.0,0.00258
780,0.0,0.0,0.0,0.0,0.002026081085205078,0,0,0,0,0,0,0.0,0.00254
840,0.0,0.04020977020263672,0.0,0.0,0.0031232833862304688,0,0,5,0,1,0,0.00012000000000000002,0.04391
900,0.0,0.025493860244750977,0.0,0.001739501953125,0.0015954971313476562,1,1,5,0,1,1,9e-05,0.03123
960,0.0,0.0,0.0,0.0,0.0032608509063720703,2,2,2,0,0,2,7e-05,0.00356
1020,0.0,0.0,0.0,0.0,0.002043485641479492,2,2,2,0,0,2,0.0,0.00337
1080,0.0,0.0,0.0005049705505371094,0.0,0.001512765884399414,2,2,2,0,0,2,0.0001,0.00342
1140,0.0,0.0,0.0,0.0,0.002019643783569336,0,0,0,0,0,0,5e-05,0.00271
1200,0.0,0.010127544403076172,0.0,0.0005044937133789062,0.0030295848846435547,0,0,5,0,1,0,5e-05,0.01428
1260,0.0,0.0,0.0010042190551757812,0.0,0.0020132064819335938,5,5,5,0,1,0,0.0,0.00373
1320,0.0,0.03884577751159668,0.0,0.010933160781860352,0.0032002925872802734,1,1,5,0,1,1,5e-05,0.05429
1380,0.0,0.0,0.0005083084106445312,0.0,0.002543926239013672,5,3,3,0,1,1,0.0,0.00396
1440,0.0,0.017157316207885742,0.0010089874267578125,0.06808614730834961,0.0030472278594970703,3,2,7,0,2,1,5e-05,0.09045
1500,0.0,0.0,0.017184972763061523,0.0005285739898681641,0.0026464462280273438,5,4,5,0,2,0,0.00014000000000000001,0.02117
1560,0.0,0.0,0.0,0.0,0.0030434131622314453,2,2,2,0,0,2,4e-05,0.00352
1620,0.0,0.017354249954223633,0.0,0.042083024978637695,0.003172159194946289,2,2,7,0,1,2,0.00010999999999999999,0.06379
1680,0.0,0.035286903381347656,0.0,0.0032231807708740234,0.0031905174255371094,3,3,10,0,2,0,0.00014000000000000001,0.04315
1740,0.0,0.0,0.0,0.0,0.0031592845916748047,5,5,5,0,1,1,0.0,0.00428
1800,0.0,0.0,0.0,0.0,0.002528667449951172,2,2,2,0,0,2,0.0,0.00356
1860,0.0,0.0,0.0,0.0,0.002526521682739258,2,2,2,0,0,2,0.0,0.00341
1920,0.0,0.0,0.0,0.0,0.002529621124267578,2,2,2,0,0,2,0.0,0.00369
1980,0.0,0.0,0.0,0.0,0.0015571117401123047,1,1,1,0,0,1,0.0,0.0032
2040,0.0,0.04022097587585449,0.0,0.0015523433685302734,0.0016012191772460938,0,0,5,0,1,0,8e-05,0.04489
2100,0.0,0.0,0.0,0.0,0.003082752227783203,5,4,4,0,1,0,6e-05,0.00379
