sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.0,0.0,0.0,0.0010056495666503906,0,0,0,0,0,0,0.0,0.00251
60,0.0,0.0,0.0015780925750732422,0.0,0.0022215843200683594,0,0,0,0,0,0,0.0,0.00275
120,0.0,0.0,0.0,0.0,0.0015749931335449219,0,0,0,0,0,0,0.0,0.00241
180,0.0,0.059873104095458984,0.0,0.02351093292236328,0.0031118392944335938,0,0,12,0,2,0,8e-05,0.08839
240,0.0,0.0,0.019376039505004883,0.0,0.002161264419555664,1,1,1,0,0,2,0.0,0.02111
300,0.0,0.0,0.01409292221069336,0.0,0.0016055107116699219,1,1,1,0,0,2,5e-05,0.01736
360,0.0,0.03139090538024902,0.0067560672760009766,0.04291796684265137,0.0031251907348632812,1,1,5,0,1,2,8e-05,0.08492
420,0.0,0.0,0.0020151138305664062,0.0,0.00252532958984375,2,2,2,0,0,3,0.0,0.00582
480,0.0,0.0,0.0016241073608398438,0.0,0.0015125274658203125,2,2,2,0,0,3,0.0,0.00474
540,0.0,0.0,0.0,0.020258188247680664,0.0015616416931152344,2,2,2,0,0,2,0.0,0.02287
600,0.0,0.0,0.0,0.0,0.0015730857849121094,0,0,0,0,0,0,0.0,0.0026
660,0.0,0.0,0.0,0.0,0.0015628337860107422,0,0,0,0,0,0,4e-05,0.00256
720,0.0,0.0,0.0,0.0,0.0020227432250976562,0,0,0,0,0,0,0.0,0.00268
780,0.0,0.0,0.0,0.0,0.0031969547271728516,0,0,0,0,0,0,0.0,0.00282
840,0.0,0.03694558143615723,0.0,0.0010144710540771484,0.003076314926147461,0,0,5,0,1,0,9e-05,0.04164
900,0.0,0.0,0.0,0.0,0.0017845630645751953,1,1,1,0,0,1,9e-05,0.00301
960,0.0,0.0,0.0,0.0,0.0031626224517822266,1,1,1,0,0,1,4e-05,0.00308
1020,0.0,0.0,0.0,0.0,0.003030538558959961,1,1,1,0,0,1,0.0,0.00306
1080,0.0,0.0,0.0,0.0,0.002589702606201172,1,1,1,0,0,1,8e-05,0.00311
1140,0.0,0.03249239921569824,0.0,0.0015783309936523438,0.003168344497680664,0,0,5,0,1,0,4e-05,0.03742
1200,0.0,0.02891063690185547,0.0,0.0,0.0031113624572753906,1,1,6,0,1,1,4e-05,0.03362
1260,0.0,0.0,0.0015380382537841797,0.0,0.0013260841369628906,6,5,5,0,1,1,0.0,0.00404
1320,0.0,0.0,0.0,0.0015892982482910156,0.0013453960418701172,2,2,2,0,0,2,4e-05,0.00386
1380,0.0,0.0,0.0,0.001615285873413086,0.0015523433685302734,1,1,1,0,0,1,0.0,0.00316
1440,0.0,0.019141197204589844,0.0,0.0010755062103271484,0.001588582992553711,0,0,5,0,1,0,4e-05,0.02339
1500,0.0,0.04325461387634277,0.0,0.004681825637817383,0.0031218528747558594,1,1,4,0,1,1,0.00012000000000000002,0.05108
1560,0.0,0.027292490005493164,0.0,0.004895210266113281,0.003391742706298828,2,2,7,0,1,2,4e-05,0.03584
1620,0.0,0.028768062591552734,0.0,0.007903575897216797,0.0031423568725585938,2,4,13,0,2,3,8e-05,0.04186
1680,0.0,0.04037904739379883,0.0015113353729248047,0.007827997207641602,0.0031304359436035156,7,7,16,0,3,1,0.00012000000000000002,0.0549
1740,0.0,0.0,0.0020956993103027344,0.007856369018554688,0.0031392574310302734,8,6,7,0,2,1,0.0,0.01337
1800,0.0,0.0,0.0,0.0,0.002097606658935547,3,2,2,0,1,1,0.0,0.00362
1860,0.0,0.0,0.0,0.0,0.003222227096557617,2,2,2,0,1,1,0.0,0.00346
1920,0.0,0.0,0.0015978813171386719,0.0,0.001577615737915039,2,2,2,0,0,2,0.0,0.00366
1980,0.0,0.0,0.0,0.0,0.001676321029663086,1,1,1,0,0,1,0.0,0.00308
2040,0.0,0.0,0.0,0.0,0.0015654563903808594,1,1,1,0,0,1,8e-05,0.00301
2100,0.0,0.0,0.0,0.0,0.0015735626220703125,1,1,1,0,0,1,4e-05,0.003
2160,0.0,0.006464719772338867,0.0,0.0020248889923095703,0.0026443004608154297,1,1,6,0,1,1,4e-05,0.01244
2220,0.0,0.0,0.0,0.0,0.003509521484375,1,1,1,0,0,1,0.0,0.00319
2280,0.0,0.0,0.0,0.0,0.0017654895782470703,1,1,1,0,0,1,4e-05,0.00303
2340,0.0,0.0,0.0,0.0,0.0020134449005126953,1,1,1,0,0,1,4e-05,0.00292
2400,0.0,0.0,0.0,0.0,0.003175973892211914,0,0,0,0,0,0,4e-05,0.00262
2460,0.0,0.03784751892089844,0.0,0.0015437602996826172,0.0015540122985839844,0,0,5,0,1,0,4e-05,0.04301
2520,0.0,0.0,0.0010151863098144531,0.0,0.002026796340942383,5,1,1,0,1,0,4e-05,0.00343
2580,0.0,0.0,0.0,0.0,0.0015957355499267578,1,1,1,0,1,0,5e-05,0.00314
2640,0.0,0.0,0.0,0.0,0.0015728473663330078,1,1,1,0,1,0,0.0,0.00314
2700,0.0,0.0407712459564209,0.0,0.0,0.0030906200408935547,1,1,4,0,1,1,4e-05,0.04496
2760,0.0,0.0,0.0,0.0,0.0031633377075195312,4,2,2,0,1,1,4e-05,0.00356
2820,0.0,0.0,0.0016794204711914062,0.0,0.001561880111694336,2,2,2,0,1,1,0.0,0.00356
2880,0.0,0.03869509696960449,0.0,0.0015478134155273438,0.003181934356689453,2,2,6,0,2,1,8e-05,0.04423
2940,0.0,0.0,0.0,0.0,0.0015933513641357422,5,3,3,0,1,2,4e-05,0.00413
3000,0.0,0.0,0.0016062259674072266,0.0,0.0016317367553710938,3,3,3,0,1,2,6e-05,0.00401
3060,0.0,0.0713963508605957,0.0,0.06745195388793945,0.0040264129638671875,0,2,18,0,4,1,0.00013000000000000002,0.14421
3120,0.0,0.0,0.013438940048217773,0.034334659576416016,0.0031507015228271484,10,8,8,0,3,1,0.0,0.05212
3180,0.0,0.0,0.014601945877075195,0.0,0.003042936325073242,4,4,4,0,1,3,0.0,0.01906
3240,0.0,0.0,0.0,0.0,0.0020275115966796875,3,3,3,0,0,4,0.0,0.00366
3300,0.0,0.0,0.0,0.0,0.003142833709716797,3,3,3,0,0,4,4e-05,0.00379
3360,0.0,0.0,0.0,0.0,0.001577615737915039,2,2,2,0,0,3,4e-05,0.00346
3420,0.0,0.035875558853149414,0.0,0.014715433120727539,0.003054380416870117,1,1,5,0,1,2,4e-05,0.0551
3480,0.0,0.0,0.0,0.0,0.0015151500701904297,5,2,2,0,1,2,0.0,0.00387
3540,0.0,0.0,0.0,0.0,0.0030586719512939453,2,2,2,0,0,2,0.0,0.0034
3600,0.0,0.0046923160552978516,0.0,0.0015473365783691406,0.0015668869018554688,1,1,6,0,1,1,8e-05,0.00928
3660,0.0,0.0,0.0,0.0,0.001550912857055664,2,2,2,0,0,2,0.0,0.00356
3720,0.0,0.013298511505126953,0.0,0.0066967010498046875,0.0031080245971679688,1,3,7,0,1,2,4e-05,0.02382
3780,0.0,0.0,0.0,0.0,0.0016701221466064453,1,1,1,0,0,1,0.0,0.00321
3840,0.0,0.03728532791137695,0.0,0.0019643306732177734,0.002048969268798828,0,2,6,0,1,1,0.00012000000000000002,0.04189
3900,0.0,0.0,0.001657724380493164,0.0,0.0015528202056884766,6,5,5,0,1,1,0.0,0.00388
3960,0.0,0.0,0.0,0.0,0.003735780715942383,5,2,2,0,1,1,0.0,0.00402
4020,0.0,0.0,0.0,0.0,0.0036635398864746094,1,1,1,0,0,2,0.0,0.00332
4080,0.0,0.0,0.0,0.0015134811401367188,0.0015125274658203125,1,1,1,0,0,1,0.0,0.00372
4140,0.0,0.0,0.0,0.0005280971527099609,0.0015342235565185547,1,1,1,0,0,1,0.0,0.00299
4200,0.0,0.0,0.0,0.0,0.003014802932739258,1,1,1,0,0,1,0.0,0.00307
4260,0.0,0.00410008430480957,0.0,0.0005037784576416016,0.0030574798583984375,1,1,6,0,1,1,4e-05,0.00864
4320,0.0,0.004922628402709961,0.0,0.0015790462493896484,0.0031480789184570312,1,1,5,0,1,1,8e-05,0.00984
4380,0.0,0.0,0.0,0.0,0.0025637149810791016,2,2,2,0,0,2,4e-05,0.00344
4440,0.0,0.0,0.0,0.0,0.003232717514038086,2,2,2,0,0,2,8e-05,0.00337
4500,0.0,0.0,0.0,0.0005133152008056641,0.0020935535430908203,2,2,2,0,0,2,0.0,0.00346
4560,0.0,0.022699832916259766,0.0,0.0015270709991455078,0.002548694610595703,1,3,7,0,1,2,4e-05,0.02742
4620,0.0,0.02450394630432129,0.0,0.0553889274597168,0.0031557083129882812,3,3,10,0,2,0,0.0001,0.08409
4680,0.0,0.031063318252563477,0.0,0.0015821456909179688,0.0015587806701660156,1,3,6,0,1,2,4e-05,0.03615
4740,0.0,0.0,0.009134531021118164,0.0,0.0030319690704345703,6,4,4,0,1,2,0.0,0.01337
4800,0.0,0.0,0.0010089874267578125,0.0,0.002028942108154297,2,2,2,0,0,3,0.0,0.00354
4860,0.0,0.0,0.0015904903411865234,0.0,0.0015823841094970703,1,1,1,0,0,2,4e-05,0.00333
4920,0.0,0.0,0.0,0.0,0.002546548843383789,1,1,1,0,0,2,8e-05,0.00315
4980,0.0,0.033951759338378906,0.0,0.006969451904296875,0.0025284290313720703,1,1,5,0,1,1,8e-05,0.04521
5040,0.0,0.0004572868347167969,0.0,0.0,0.002592325210571289,5,4,4,0,1,1,0.0,0.00384
5100,0.0,0.03896450996398926,0.0,0.0015494823455810547,0.003099203109741211,1,1,6,0,1,1,4e-05,0.04473
5160,0.0,0.0,0.0,0.0,0.0015842914581298828,2,2,2,0,0,2,5e-05,0.00326
5220,0.0,0.0,0.0,0.0,0.0019042491912841797,2,2,2,0,0,2,4e-05,0.00325
5280,0.0,0.0,0.0,0.0,0.0015497207641601562,2,2,2,0,0,2,0.0,0.00324
