sim_time,reservation_time_trigger,charging_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.0,0.0,0.0,0.0,0.0032405853271484375,0,0,0,0,0,0,0.0,0.00276
60,0.0,0.0,0.0,0.0,0.0,0.0015964508056640625,0,0,0,0,0,0,0.0,0.00254
120,0.0,0.0,0.0,0.0,0.0,0.0015985965728759766,0,0,0,0,0,0,0.0,0.00353
180,0.0,0.062,0.061241865158081055,0.0,0.024085283279418945,0.003095865249633789,0,0,12,0,2,0,0.08442,0.0893
240,0.0,0.0,0.0,0.0,0.0,0.0018773078918457031,0,1,1,0,0,2,0.0,0.0041
300,0.0,0.062,0.037346601486206055,0.0,0.02283787727355957,0.0031931400299072266,1,1,5,0,1,2,0.03719,0.06511
360,0.0,0.0,0.05565929412841797,0.0010159015655517578,0.15826964378356934,0.0031461715698242188,1,2,11,0,2,3,0.06659,0.22043
420,0.0,0.0,0.0,0.0,0.0,0.0015912055969238281,4,4,4,0,0,5,0.0,0.00454
480,0.0,0.0,0.0,0.0,0.0,0.0031991004943847656,3,3,3,0,0,4,0.0,0.00469
540,0.0,0.0,0.0,0.0,0.0,0.0033550262451171875,3,3,3,0,0,4,0.0,0.00437
600,0.0,0.0,0.0,0.0,0.0,0.0015568733215332031,2,2,2,0,0,3,0.0,0.00412
660,0.0,0.0,0.010992288589477539,0.0,0.004772186279296875,0.0017669200897216797,2,2,5,0,1,3,0.02382,0.01929
720,0.0,0.0,0.0,0.0,0.0,0.0015740394592285156,3,3,3,0,0,3,0.0,0.00383
780,0.0,0.0,0.0,0.0,0.0,0.001016378402709961,1,1,1,0,0,1,0.0,0.00328
840,0.0,0.114,0.06687569618225098,0.0,0.02830982208251953,0.0028934478759765625,0,0,6,0,2,0,0.07311,0.09946
900,0.0,0.0,0.015841245651245117,0.0015554428100585938,0.09563684463500977,0.0025756359100341797,0,2,3,0,1,2,0.08634,0.11731
960,0.0,0.0,0.030516386032104492,0.0,0.012685298919677734,0.002104520797729492,2,2,5,0,2,2,0.06445,0.04762
1020,0.0,0.0,0.0,0.0,0.00045752525329589844,0.0015060901641845703,3,3,3,0,0,4,0.0,0.00462
1080,0.0,0.0,0.0,0.0,0.0,0.0015799999237060547,3,3,3,0,0,4,0.12240000000000001,0.00482
1140,0.0,0.0,0.0,0.0,0.0,0.0031681060791015625,3,3,3,0,0,4,0.06427,0.00449
1200,0.0,0.0,0.0,0.0015811920166015625,0.003990650177001953,0.0016012191772460938,3,3,3,0,0,3,0.06649,0.00924
1260,0.0,0.0,0.0,0.0015840530395507812,0.0,0.00186920166015625,3,3,3,0,0,3,0.0,0.00434
1320,0.0,0.052,0.029001235961914062,0.0,0.011104822158813477,0.0031425952911376953,1,3,3,0,1,2,0.03137,0.04468
1380,0.0,0.0,0.0,0.0010287761688232422,0.0,0.0015339851379394531,0,1,1,0,0,2,0.0,0.00408
1440,0.0,0.0,0.0,0.0,0.0,0.0016117095947265625,1,1,1,0,0,1,0.02855,0.00356
1500,0.0,0.0,0.0,0.0,0.0,0.0031609535217285156,1,1,1,0,0,1,0.10127000000000001,0.0035
1560,0.0,0.0,0.0,0.0,0.0,0.003025531768798828,1,1,1,0,0,1,0.02231,0.00365
1620,0.0,0.0,0.0,0.0,0.0,0.001596212387084961,0,0,0,0,0,0,0.06708,0.00291
1680,0.0,0.0,0.02642059326171875,0.0,0.0020399093627929688,0.0030798912048339844,0,0,5,0,2,0,0.09592,0.03408
1740,0.0,0.062,0.0,0.003066539764404297,0.0,0.002045869827270508,5,5,5,0,2,0,0.0,0.00707
1800,0.0,0.0,0.0,0.0005056858062744141,0.0,0.0025587081909179688,1,2,2,0,1,1,0.0,0.0045
1860,0.0,0.0,0.0,0.0,0.0,0.0031282901763916016,2,2,2,0,1,1,0.0,0.00391
1920,0.0,0.0,0.0,0.0,0.0,0.0025992393493652344,2,2,2,0,0,2,0.0,0.00373
1980,0.0,0.0,0.0,0.0,0.0,0.0019190311431884766,2,2,2,0,0,2,0.0,0.00373
2040,0.0,0.049,0.07070374488830566,0.0,0.03181600570678711,0.0033113956451416016,1,3,5,0,2,2,0.07669999999999999,0.10756
