sim_time,reservation_time_trigger,charging_strategy,dyn_fleetsizing_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.0,0.0,0.10898852348327637,0.0,0.0,0.003154754638671875,0.0,0.0,0.0,0,0,0,0.0,0.20636
60,0.0,0.0,0.0,0.11313843727111816,0.0,0.0,0.0031723976135253906,0.0,0.0,0.0,0,0,0,0.0,0.1216
120,0.0,0.0,0.0,0.0015943050384521484,0.0,0.0,0.001567840576171875,0.0,0.0,0.0,0,0,0,0.0,0.00504
180,0.0,0.062,0.0,0.03190493583679199,0.0,0.0,0.0025844573974609375,0.0,0.0,0.0,0,2,0,0.08055999999999999,0.09484
240,0.0,0.0,0.0,0.0015714168548583984,0.0,0.0,0.003165721893310547,0.0,0.0,0.0,0,0,2,0.0,0.02534
300,0.0,0.0,0.0,0.03830385208129883,0.0,0.0,0.003156900405883789,0.0,0.0,0.0,0,1,2,0.04341,0.08839
360,0.0,0.0,0.0,0.031592607498168945,0.0,0.0,0.003084897994995117,0.0,0.0,0.0,0,3,2,0.09322,0.14108
420,0.0,0.0,0.0,0.0015430450439453125,0.0,0.0,0.0015609264373779297,0.0,0.0,0.0,0,1,4,0.0,0.01179
480,0.0,0.0,0.0,0.0015561580657958984,0.0,0.0,0.003149271011352539,0.0,0.0,0.0,0,1,3,0.0,0.02525
540,0.0,0.0,0.0,0.0015633106231689453,0.0,0.0,0.001573324203491211,0.0,0.0,0.0,0,0,4,0.0,0.02069
600,0.0,0.0,0.0,0.0,0.0,0.0,0.003667593002319336,0.0,0.0,0.0,0,0,3,0.0,0.01361
660,0.0,0.0,0.0,0.013628959655761719,0.0,0.0,0.003116130828857422,0.0,0.0,0.0,0,1,3,0.04168,0.06991
720,0.0,0.0,0.0,0.0005068778991699219,0.0,0.0,0.0034263134002685547,0.0,0.0,0.0,0,0,4,0.0,0.00731
780,0.0,0.0,0.0,0.0015654563903808594,0.0,0.0,0.0015442371368408203,0.0,0.0,0.0,0,0,2,0.0,0.00666
840,0.0,0.111,0.0,0.04058837890625,0.0,0.0,0.0031452178955078125,0.0,0.0,0.0,0,2,0,0.06855,0.09915
900,0.0,0.0,0.0,0.019140958786010742,0.0,0.0,0.001531839370727539,0.0,0.0,0.0,0,1,2,0.11448,0.11588
960,0.0,0.053,0.0,0.02465033531188965,0.0,0.0,0.003364086151123047,0.0,0.0,0.0,0,2,2,0.0579,0.13767
1020,0.0,0.0,0.0,0.0015683174133300781,0.0,0.0,0.003188610076904297,0.0,0.0,0.0,0,0,4,0.0,0.01621
1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0031371116638183594,0.0,0.0,0.0,0,0,4,0.07166,0.00929
1140,0.0,0.0,0.0,0.0,0.0,0.0,0.0015628337860107422,0.0,0.0,0.0,0,0,4,0.05952,0.01919
