time,event,station_id,ch_op_id,vid,op_id,veh_type,current_soc,socket_id,socket_power,initial_soc,transferred_power,connection_duration
1845.2948005756411,detach,2,0,1,0,low_range_vehtype,0.726,2,15,0.061,3.32523852852606,798.0572468462542
2208.5305014583973,detach,0,op_0,2,0,low_range_vehtype,0.865,0,15,0.222,3.214181000649987,771.4034401559966
3216.025179120424,detach,0,op_0,3,0,low_range_vehtype,1.0,0,15,0.16,4.197894490258437,1007.494677662025
3204.308763498252,detach,2,0,4,0,low_range_vehtype,1.0,2,15,-0.133,5.662558178844213,1359.013962922611
3378.3541299106205,detach,0,op_0,2,0,low_range_vehtype,1.0,0,15,0.865,0.6763706282924875,162.3289507901968
4483.871384692237,detach,1,op_0,1,0,low_range_vehtype,1.0,0,7.5,0.207,3.966398718108828,1903.8713846922374
4822.0127177839695,detach,2,0,4,0,low_range_vehtype,1.0,2,15,0.294,3.5287924999999998,846.9102000000003
5587.158986920766,detach,0,op_0,0,0,low_range_vehtype,0.809,0,15,0.168,3.206424465085871,769.5418716206086
5704.092865160153,detach,2,0,3,0,low_range_vehtype,0.971,2,15,0.236,3.6753339474007642,882.080147376183
6348.754780777773,detach,0,op_0,2,0,low_range_vehtype,0.795,0,15,0.16,3.173315807737527,761.5957938570064
6690.366231695305,detach,2,0,1,0,low_range_vehtype,1.0,2,15,0.178,4.109472360563131,986.2733665351516
7321.08415206607,detach,2,0,3,0,low_range_vehtype,0.694,2,15,0.168,2.6279913348781863,630.7179203707647
7646.5742674798485,detach,0,op_0,4,0,low_range_vehtype,1.0,0,15,-0.082,5.407581194591982,1297.8194867020757
7693.721776758783,detach,1,op_0,0,0,low_range_vehtype,1.0,0,7.5,0.344,3.27858703491413,1573.7217767587827
8364.581711506988,detach,2,0,2,0,low_range_vehtype,1.0,2,15,0.13,4.3479064976704915,1043.497559440918
