sim_time,reservation_time_trigger,dyn_fleetsizing_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.0,0.0,0.0,0.0,0.0031676292419433594,0,0,0,0,0,0,0.0,0.00292
60,0.0,0.0,0.0,0.0,0.0,0.0015149116516113281,0,0,0,0,0,0,0.0,0.00274
120,0.0,0.0,0.0,0.0,0.0,0.0016722679138183594,0,0,0,0,0,0,0.0,0.00258
180,0.0,0.0,0.05841636657714844,0.0,0.021709442138671875,0.0026085376739501953,0,0,9,0,2,0,0.07818,0.08499
240,0.0,0.0,0.0,0.0018644332885742188,0.0,0.0016145706176757812,9,3,3,0,2,0,0.0,0.00463
300,0.0,0.0,0.03851771354675293,0.0,0.015058279037475586,0.0015761852264404297,3,3,7,0,3,0,0.05099,0.05667
360,0.0,0.0,0.05669450759887695,0.006133317947387695,0.2222137451171875,0.0014500617980957031,6,5,15,0,5,0,0.09267,0.28885
420,0.0,0.0,0.0,0.0,0.0,0.001569509506225586,4,4,4,0,1,4,0.0,0.00446
480,0.0,0.0,0.0,0.01744675636291504,0.0171663761138916,0.003161907196044922,3,3,3,0,1,3,0.0,0.03937
540,0.0,0.0,0.0005381107330322266,0.013059854507446289,0.0,0.001552581787109375,3,3,3,0,0,4,0.0,0.01728
600,0.0,0.0,0.0,0.006555318832397461,0.0,0.0016074180603027344,2,2,2,0,0,3,0.0,0.00935
660,0.0,0.0,0.01256704330444336,0.0015766620635986328,0.004847049713134766,0.0015900135040283203,2,2,5,0,1,3,0.01339,0.02224
720,0.0,0.0,0.0,0.0,0.0,0.0035829544067382812,3,3,3,0,0,4,0.0,0.00383
780,0.0,0.0,0.0,0.0,0.020225048065185547,0.002573251724243164,2,2,2,0,0,2,0.0,0.02351
840,0.0,0.0,0.06928467750549316,0.0,0.020642995834350586,0.0017774105072021484,0,0,6,0,2,0,0.06989000000000001,0.09341
900,0.0,0.0,0.037499189376831055,0.011230945587158203,0.12831354141235352,0.0015823841094970703,3,3,12,0,4,0,0.14598,0.18148
960,0.0,0.0,0.022191762924194336,0.04990696907043457,0.07406115531921387,0.003692626953125,10,8,21,0,5,0,0.13342,0.15191
1020,0.0,0.0,0.0,0.004599809646606445,0.0,0.0013632774353027344,5,5,5,0,2,3,0.0,0.00807
1080,0.0,0.0,0.07153463363647461,0.0,0.07735276222229004,0.003406047821044922,2,4,7,0,3,4,0.17722,0.15339
1140,0.0,0.0,0.03777003288269043,0.0,0.0433046817779541,0.0015726089477539062,5,7,8,0,3,5,0.06814,0.08485
1200,0.0,0.0,0.0,0.0,0.16143012046813965,0.0029838085174560547,6,6,7,0,3,3,0.11001,0.16526
1260,0.0,0.0,0.0,0.004620075225830078,0.0,0.0032012462615966797,7,7,7,0,3,3,0.0,0.00891
1320,0.0,0.0,0.039017677307128906,0.0015583038330078125,0.08714079856872559,0.0030431747436523438,4,6,7,0,2,4,0.11045,0.13322
1380,0.0,0.0,0.0,0.0010156631469726562,0.0276029109954834,0.0030689239501953125,4,4,5,0,2,2,0.0,0.03259
1440,0.0,0.0,0.026581287384033203,0.0,0.07068824768066406,0.0018100738525390625,3,5,6,0,1,4,0.02965,0.10106
1500,0.0,0.0,0.09744524955749512,0.002619504928588867,0.1097102165222168,0.0031309127807617188,3,5,22,0,4,3,0.22774999999999998,0.21673
1560,0.0,0.0,0.015275716781616211,0.007671833038330078,0.03217172622680664,0.0030541419982910156,8,10,16,0,4,3,0.0438,0.06039
1620,0.0,0.0,0.051723480224609375,0.01766061782836914,0.06948018074035645,0.003399372100830078,6,7,19,0,5,2,0.16369,0.14501
1680,0.0,0.0,0.0747075080871582,0.007877826690673828,0.05506443977355957,0.0042591094970703125,10,12,25,0,6,3,0.4505,0.14438
1740,0.0,0.0,0.0,0.0010247230529785156,0.0,0.0030689239501953125,12,12,12,0,3,6,0.0,0.00621
1800,0.0,0.024,0.0,0.0,0.05556511878967285,0.0032362937927246094,4,4,6,0,3,2,0.0,0.05998
1860,0.0,0.0,0.0,0.0,0.008569478988647461,0.0020415782928466797,1,4,4,0,1,4,0.0,0.01349
1920,0.0,0.0,0.0,0.0,0.0,0.002590179443359375,4,4,4,0,0,4,0.0,0.00491
1980,0.0,0.0,0.0,0.0010259151458740234,0.0,0.0020139217376708984,4,4,4,0,0,4,0.0,0.00461
2040,0.0,0.0,0.0,0.0,0.0,0.0015799999237060547,3,3,3,0,0,3,0.07793,0.00423
2100,0.0,0.0,0.03884410858154297,0.0,0.007771730422973633,0.0015347003936767578,2,4,4,0,1,3,0.03962,0.05084
2160,0.0,0.0,0.0,0.0,0.0,0.0031461715698242188,3,3,3,0,1,2,0.02114,0.00472
2220,0.0,0.0,0.0,0.0,0.0,0.0015883445739746094,2,2,2,0,1,1,0.0,0.0041
2280,0.0,0.0,0.0,0.0,0.0,0.0031719207763671875,1,1,1,0,1,0,0.02966,0.00414
2340,0.0,0.0,0.0,0.0,0.0015494823455810547,0.0015456676483154297,1,1,1,0,1,0,0.04211,0.00389
2400,0.0,0.0,0.015467405319213867,0.0015575885772705078,0.0,0.0015666484832763672,0,2,2,0,1,1,0.01596,0.02002
2460,0.0,0.0,0.0,0.0,0.0,0.0021359920501708984,2,2,2,0,1,1,0.06278,0.00404
2520,0.0,0.0,0.0,0.0,0.0,0.0020394325256347656,2,2,2,0,1,1,0.04019,0.00422
2580,0.0,0.0,0.0,0.0,0.0010275840759277344,0.0020253658294677734,2,2,2,0,1,1,0.04063,0.00409
2640,0.0,0.0,0.0,0.0,0.0015571117401123047,0.0025768280029296875,1,1,1,0,0,1,0.0,0.00394
2700,0.0,0.0,0.03987479209899902,0.0,0.0,0.0036699771881103516,0,2,2,0,1,1,0.03966,0.04415
2760,0.0,0.0,0.0,0.0,0.0,0.001577138900756836,2,2,2,0,1,1,0.04616,0.0041
2820,0.0,0.0,0.0,0.0015878677368164062,0.0,0.0015685558319091797,2,2,2,0,1,1,0.0,0.00406
2880,0.0,0.0,0.0,0.0,0.0,0.0016078948974609375,1,1,1,0,1,0,0.14083,0.00357
2940,0.0,0.0,0.0,0.0,0.0,0.003398895263671875,1,1,1,0,1,0,0.04132,0.00369
3000,0.0,0.0,0.019098520278930664,0.0,0.0031621456146240234,0.0015959739685058594,0,2,2,0,1,1,0.0199,0.02474
3060,0.0,0.0,0.0,0.0,0.0,0.003195524215698242,2,2,2,0,1,1,0.10427,0.00423
3120,0.0,0.0,0.0,0.0,0.0,0.0032417774200439453,2,2,2,0,1,1,0.0,0.00438
3180,0.0,0.0,0.0,0.0,0.0,0.003654956817626953,1,1,1,0,1,0,0.0,0.00354
3240,0.0,0.0,0.0,0.0,0.0,0.0032033920288085938,1,1,1,0,1,0,0.0,0.00353
3300,0.0,0.0,0.00788736343383789,0.0,0.0015795230865478516,0.003203868865966797,0,2,2,0,1,1,0.00877,0.01296
3360,0.0,0.0,0.021787405014038086,0.0,0.0015347003936767578,0.003094911575317383,0,2,4,0,2,1,0.04061,0.02764
3420,0.0,0.0,0.0,0.0,0.0015354156494140625,0.0015444755554199219,1,2,2,0,1,1,0.03837,0.00507
3480,0.0,0.0,0.0,0.0062198638916015625,0.0,0.0031273365020751953,2,2,2,0,1,1,0.0,0.01047
