sim_time,reservation_time_trigger,dyn_fleetsizing_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch,activate vehicles,active vehicles,effective utilized vehicles,utilization
0,0.0,0.0,0.0,0.0,0.0,0.0015881061553955078,0,0,0,0,0,0,0.0,0.00342,0,50,0.0,0.0
60,0.0,0.909,0.0,0.0,0.0,0.0015971660614013672,0,0,0,0,0,0,0.0,0.0034,-49.0,50,0.0,0.0
120,0.0,0.001,0.0,0.0,0.0,0.002058267593383789,0,0,0,0,0,0,0.0,0.00711,-0.0,1,0.0,0.0
180,0.0,0.002,0.0,0.0,0.0,0.001592397689819336,0,0,0,0,0,0,0.06722,0.00667,-0.0,1,0.0,0.0
240,0.0,0.006,0.0,0.0,0.0015947818756103516,0.0015869140625,0,0,0,0,0,0,0.0,0.00595,-0.0,1,0.0,0.0
300,0.0,0.006,0.04118824005126953,0.0,0.005523681640625,0.0016074180603027344,0,0,1,0,1,0,0.04324,0.0536,1,1,1.0,1.0
360,0.0,0.005,0.024480819702148438,0.0,0.028603792190551758,0.00255584716796875,1,1,3,0,2,0,0.11624999999999999,0.06372,2,2,2.0,1.0
420,0.0,0.001,0.0,0.011247396469116211,0.0015747547149658203,0.001565694808959961,3,2,2,0,2,0,0.0,0.02121,2,2,2.0,1.0
480,0.0,0.0,0.0,0.0,0.0015611648559570312,0.001569986343383789,2,2,2,0,2,0,0.0,0.0087,1,2.0,1.7145155485555672,0.8572577742777836
540,0.0,0.001,0.0,0.0,0.0,0.003395557403564453,2,2,2,0,0,2,0.0,0.00809,1,2.0,1.3145155485555673,0.6572577742777836
600,0.0,0.02,0.0,0.0,0.0015764236450195312,0.0015716552734375,2,2,2,0,0,2,0.0,0.00789,-1,2.0,0.9145155485555669,0.45725777427778347
660,0.0,0.001,0.029187440872192383,0.0,0.015871286392211914,0.0031926631927490234,0,3,3,0,1,2,0.03573,0.05492,2,2,2.0,1.0
720,0.0,0.001,0.0,0.0,0.0016074180603027344,0.0031740665435791016,3,3,3,0,1,2,0.0,0.00956,2,2,2.0,1.0
780,0.0,0.019,0.0,0.0,0.0005369186401367188,0.0015707015991210938,1,1,1,0,1,0,0.0,0.00795,-1,2.0,0.8684461527289515,0.43422307636447577
840,0.0,0.0,0.00160980224609375,0.0,0.0,0.0016090869903564453,1,1,1,0,1,0,0.07058,0.00966,1,1.0,0.6684461527289507,0.6684461527289507
900,0.0,0.001,0.05692028999328613,0.0,0.019031524658203125,0.0031669139862060547,0,0,8,0,3,0,0.06864999999999999,0.08566,2,2,2.0,1.0
960,0.0,0.001,0.027177810668945312,0.0,0.050911903381347656,0.003151416778564453,3,3,10,0,3,1,0.10407,0.08878,2,2,2.0,1.0
1020,0.0,0.001,0.0,0.004769563674926758,0.0,0.003273487091064453,10,10,10,0,3,1,0.0,0.01396,2,2.0,1.8259227541698404,0.9129613770849202
1080,0.0,0.001,0.027654170989990234,0.0,0.05048966407775879,0.0030324459075927734,5,5,15,0,4,0,0.17169,0.08822,2,2,2.0,1.0
1140,0.0,0.001,0.0,0.0015866756439208984,0.0,0.0015933513641357422,8,8,8,0,3,1,0.07292,0.01059,2,2,2.0,1.0
1200,0.0,0.001,0.0,0.0,0.0,0.003245830535888672,3,3,3,0,1,3,0.07895,0.01056,2,2,2.0,1.0
1260,0.0,0.001,0.0,0.0,0.0,0.003561258316040039,3,3,3,0,1,3,0.0,0.00831,2,2.0,1.811722058967066,0.905861029483533
1320,0.0,0.0,0.039189815521240234,0.0015838146209716797,0.03852963447570801,0.0031998157501220703,1,3,3,0,2,2,0.043,0.08957,1,2.0,1.670068831997917,0.8350344159989584
1380,0.0,0.0,0.0,0.0004315376281738281,0.0,0.0025827884674072266,2,3,3,0,1,2,0.0,0.01055,1,2.0,1.4700688319979167,0.7350344159989584
1440,0.0,0.001,0.02998065948486328,0.0,0.019593238830566406,0.0015742778778076172,2,4,4,0,2,2,0.03075,0.05651,2,2.0,1.9434843802314186,0.9717421901157093
1500,0.0,0.001,0.0,0.0,0.0005121231079101562,0.003036975860595703,4,4,4,0,2,2,0.26393,0.0113,1,2.0,1.7416169660509657,0.8708084830254829
1560,0.0,0.0,0.023972272872924805,0.0,0.10864090919494629,0.002603769302368164,1,1,5,0,3,0,0.0726,0.14155,1,2.0,1.5434843802314169,0.7717421901157084
1620,0.0,0.001,0.0,0.005011081695556641,0.0,0.0016369819641113281,4,4,4,0,2,1,0.13067,0.01423,1,2.0,1.3434843802314171,0.6717421901157086
1680,0.0,0.001,0.0791323184967041,0.0003657341003417969,0.046938419342041016,0.004046916961669922,2,4,7,0,3,2,0.22122999999999998,0.1371,2,2.0,1.823905385819549,0.9119526929097745
1740,0.0,0.0,0.0,0.0,0.04010891914367676,0.0045659542083740234,4,4,6,0,3,1,0.0,0.0502,1,2.0,1.6239053858195494,0.8119526929097747
1800,0.0,0.0,0.0,0.002035379409790039,0.028528690338134766,0.0030591487884521484,4,4,5,0,3,0,0.0,0.03876,1,2.0,1.4239053858195492,0.7119526929097746
1860,0.0,0.0,0.0,0.004559755325317383,0.0,0.0020411014556884766,3,3,3,0,1,2,0.0,0.01162,0,2.0,1.2239053858195499,0.6119526929097749
1920,0.0,0.02,0.0,0.0,0.0,0.002003908157348633,2,2,2,0,0,3,0.0,0.00692,-1,2.0,1.0239053858195506,0.5119526929097753
1980,0.0,0.004,0.0,0.0,0.0015978813171386719,0.001611948013305664,1,1,1,0,0,2,0.0,0.00756,-1,2,1.0,0.5
2040,0.0,0.0,0.0,0.0,0.0,0.002557992935180664,1,1,1,0,0,2,0.07411000000000001,0.00746,1,1.0,0.9259035611561027,0.9259035611561027
2100,0.0,0.0,0.0,0.0,0.004799365997314453,0.003141164779663086,1,1,1,0,0,1,0.04721,0.01239,1,1.0,0.7259035611561042,0.7259035611561042
2160,0.0,0.0,0.0213925838470459,0.0,0.0046002864837646484,0.002562999725341797,1,1,3,0,1,1,0.02194,0.03279,1,2.0,1.5259035611561012,0.7629517805780506
2220,0.0,0.0,0.0,0.001027822494506836,0.0,0.0020418167114257812,3,3,3,0,1,1,0.0,0.00811,0,2.0,1.1709841904679963,0.5854920952339981
2280,0.0,0.0,0.031665802001953125,0.0,0.0040857791900634766,0.0020356178283691406,1,3,4,0,1,2,0.03227,0.04359,1,2.0,1.6219935409345436,0.8109967704672718
2340,0.0,0.0,0.0,0.0010285377502441406,0.0,0.0016183853149414062,3,3,3,0,1,1,0.06672,0.00892,0,2.0,1.2219935409345453,0.6109967704672726
2400,0.0,0.0,0.021031618118286133,0.0010256767272949219,0.041178226470947266,0.0031507015228271484,1,3,7,0,2,1,0.02835,0.0711,1,2.0,1.5769129116226455,0.7884564558113227
2460,0.0,0.0,0.037374258041381836,0.0032041072845458984,0.004819154739379883,0.0015978813171386719,5,5,9,0,2,2,0.101,0.05424,0,4.0,2.376912911622644,0.594228227905661
2520,0.0,0.001,0.04117870330810547,0.008960247039794922,0.031989336013793945,0.003191709518432617,5,4,10,0,3,1,0.12597,0.09111,2,4.0,3.09085469109831,0.7727136727745775
2580,0.0,0.0,0.04095625877380371,0.014977693557739258,0.034040212631225586,0.003215789794921875,5,4,16,0,4,0,0.05671,0.10008,1,4.0,2.8859033973742756,0.7214758493435689
2640,0.0,0.0,0.0,0.0,0.0,0.0031576156616210938,8,6,6,0,2,2,0.0,0.00957,1,4.0,2.6666250839026526,0.6666562709756632
2700,0.0,0.0,0.039825439453125,0.0,0.025553464889526367,0.0032057762145996094,3,2,11,0,3,2,0.08268,0.07451,0,4.0,2.2666250839026514,0.5666562709756628
2760,0.0,0.014,0.038613319396972656,0.0,0.017453908920288086,0.003223896026611328,4,6,10,0,2,4,0.04396,0.06421,-1,4.0,1.8666250839026497,0.4666562709756624
2820,0.0,0.022,0.0,0.0015339851379394531,0.023265600204467773,0.0015883445739746094,4,5,5,0,1,4,0.0,0.0319,-1,3.0,1.4666250839026527,0.4888750279675509
2880,0.0,0.001,0.07766103744506836,0.0005047321319580078,0.02522110939025879,0.0025234222412109375,2,4,8,0,3,3,0.29136,0.11114,2,3.0,2.8846486340899733,0.9615495446966578
2940,0.0,0.001,0.0,0.0015900135040283203,0.016890764236450195,0.0016603469848632812,4,4,4,0,2,2,0.05472,0.02767,2,3.0,2.575411391891244,0.8584704639637479
3000,0.0,0.001,0.03168940544128418,0.0,0.023476123809814453,0.00316619873046875,2,4,5,0,2,2,0.02996,0.06313,2,3.0,2.69076275780127,0.89692091926709
3060,0.0,0.001,0.10624337196350098,0.0,0.17476940155029297,0.003191709518432617,2,4,16,0,5,2,0.22744999999999999,0.29032,3,4,4.0,1.0
3120,0.0,0.0,0.0,0.08005833625793457,0.0005037784576416016,0.002028226852416992,16,15,15,0,5,2,0.0,0.08883,3,4.0,3.84212523553086,0.960531308882715
3180,0.0,0.0,0.0,0.022890329360961914,0.006102800369262695,0.003072500228881836,9,8,10,0,4,2,0.0,0.03785,3,4.0,3.6421252355308615,0.9105313088827154
3240,0.0,0.0,0.0,0.0020809173583984375,0.002913951873779297,0.003119945526123047,5,5,6,0,2,3,0.0,0.01286,2,4.0,3.2803632830539224,0.8200908207634806
3300,0.0,0.0,0.023912668228149414,0.0,0.029057025909423828,0.0031287670135498047,3,5,8,0,2,4,0.05489,0.06169,2,4.0,3.513599925918561,0.8783999814796403
3360,0.0,0.0,0.027339935302734375,0.0004990100860595703,0.03319668769836426,0.0032203197479248047,3,5,6,0,1,6,0.07366,0.07049,1,4.0,2.913599925918561,0.7283999814796402
3420,0.0,0.0,0.03902935981750488,0.0031757354736328125,0.023735523223876953,0.0031790733337402344,4,7,9,0,2,5,0.05509,0.07573,0,5.0,2.8045904030539397,0.560918080610788
3480,0.0,0.013,0.0,0.0,0.0,0.003648996353149414,6,5,5,0,1,6,0.0,0.0096,-1,5.0,2.404590403053941,0.4809180806107882
3540,0.0,0.006,0.0,0.0015900135040283203,0.019223690032958984,0.0015819072723388672,4,4,4,0,1,4,0.0,0.0268,-1,4.0,2.0159293303669075,0.5039823325917269
3600,0.0,0.0,0.03885960578918457,0.0,0.026281356811523438,0.003000497817993164,2,2,4,0,2,2,0.20783000000000001,0.07427,2,3.0,2.610470632314973,0.8701568774383244
3660,0.0,0.0,0.0,0.0,0.0015671253204345703,0.001542806625366211,3,3,3,0,1,2,0.0,0.00856,1,3.0,2.210470632314973,0.7368235441049911
3720,0.0,0.0,0.03641176223754883,0.0,0.02542400360107422,0.0015404224395751953,2,4,6,0,2,2,0.08135,0.07004,1,3.0,2.249576974836036,0.7498589916120121
3780,0.0,0.02,0.0,0.012001276016235352,0.0,0.0035669803619384766,6,6,6,0,2,2,0.0,0.02114,-1,4.0,2.0495769748360364,0.5123942437090091
3840,0.0,0.0,0.06872797012329102,0.021959781646728516,0.0596010684967041,0.002628326416015625,2,3,10,0,4,1,0.24950000000000003,0.16017,2,3,3.0,1.0
3900,0.0,0.0,0.0,0.006539106369018555,0.00814676284790039,0.001558065414428711,5,4,6,0,3,1,0.0,0.02182,1,4,3.0,0.75
3960,0.0,0.0,0.0,0.014170646667480469,0.0,0.003299236297607422,5,5,5,0,2,2,0.0,0.02225,1,4.0,2.8302867200000006,0.7075716800000001
4020,0.0,0.0,0.0,0.009728670120239258,0.0,0.00311279296875,5,4,4,0,2,2,0.0,0.01748,1,4.0,2.6302867200000035,0.6575716800000009
4080,0.0,0.0,0.0015866756439208984,0.0015451908111572266,0.0,0.0015799999237060547,4,4,4,0,2,2,0.0,0.00849,0,4.0,2.430286720000004,0.607571680000001
4140,0.0,0.0,0.0,0.0,0.0,0.002599954605102539,3,3,3,0,0,4,0.0,0.00669,0,4.0,2.2302867200000067,0.5575716800000017
4200,0.0,0.032,0.0,0.0,0.0,0.0032129287719726562,3,3,3,0,0,4,0.0,0.00715,-2,4.0,1.7551828566413707,0.4387957141603427
4260,0.0,0.001,0.02789306640625,0.0,0.006611824035644531,0.0015859603881835938,2,2,3,0,1,2,0.04335,0.04226,1,3.0,2.324896136641373,0.7749653788804577
4320,0.0,0.0,0.06796979904174805,0.0020132064819335938,0.06422281265258789,0.003063201904296875,1,5,7,0,3,2,0.18889,0.14336,2,3,3.0,1.0
