sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.0,0.0,0.0,0.0030982494354248047,0,0,0,0,0,0,0.0,0.0028
60,0.0,0.0,0.0,0.0,0.0031347274780273438,0,0,0,0,0,0,0.0,0.0025
120,0.0,0.0,0.0,0.0,0.0031778812408447266,0,0,0,0,0,0,0.0,0.00291
180,0.0,0.05858874320983887,0.0,0.022685766220092773,0.003545045852661133,0,0,12,0,2,0,0.08004,0.08531
240,0.0,0.0,0.0005567073822021484,0.0,0.0025768280029296875,12,6,6,0,2,0,0.0,0.00482
300,0.0,0.037445783615112305,0.0,0.018354177474975586,0.0031332969665527344,3,3,11,0,3,0,0.06144,0.05928
360,0.0,0.0523834228515625,0.0,0.12029242515563965,0.004883527755737305,5,4,17,0,3,2,0.12433,0.17893
420,0.0,0.0,0.018811702728271484,0.0,0.0031347274780273438,6,5,5,0,1,4,0.0,0.02378
480,0.0,0.0,0.011434555053710938,0.015053749084472656,0.003221750259399414,4,4,4,0,1,3,0.0,0.03121
540,0.0,0.0,0.0031409263610839844,0.0,0.0031464099884033203,3,3,3,0,0,4,0.0,0.00689
600,0.0,0.0,0.0,0.0,0.003052949905395508,2,2,2,0,0,3,0.0,0.00444
660,0.0,0.009395837783813477,0.0,0.00646209716796875,0.0016121864318847656,2,2,7,0,1,3,0.01132,0.01974
720,0.0,0.0,0.0,0.0,0.0031948089599609375,3,3,3,0,0,3,0.0,0.00391
780,0.0,0.0,0.0,0.0,0.0015482902526855469,1,1,1,0,0,1,0.0,0.00319
840,0.0,0.06585979461669922,0.0,0.020457983016967773,0.0015518665313720703,0,0,8,0,2,0,0.06785,0.09021
900,0.0,0.024222850799560547,0.012070178985595703,0.1330108642578125,0.0031762123107910156,4,4,14,0,4,0,0.14650000000000002,0.17449
960,0.0,0.02200603485107422,0.007666110992431641,0.07021903991699219,0.002048969268798828,8,6,15,0,4,1,0.09523,0.10376
1020,0.0,0.0,0.0030641555786132812,0.0,0.0031168460845947266,5,5,5,0,2,3,0.0,0.00811
1080,0.0,0.06518697738647461,0.0015749931335449219,0.11191868782043457,0.0031175613403320312,2,4,9,0,3,4,0.16655,0.18411
1140,0.0,0.03631472587585449,0.0,0.13182663917541504,0.0030393600463867188,5,5,10,0,3,4,0.08357,0.1744
1200,0.0,0.02531147003173828,0.0,0.03359222412109375,0.0027065277099609375,5,7,9,0,3,4,0.10394,0.06315
1260,0.0,0.0,0.0016398429870605469,0.0,0.0015714168548583984,8,8,8,0,2,5,0.0,0.00541
1320,0.0,0.0364680290222168,0.0,0.09041762351989746,0.0016341209411621094,6,8,11,0,2,5,0.12819,0.13148
1380,0.0,0.0,0.001008749008178711,0.02036285400390625,0.002027273178100586,6,6,8,0,2,3,0.0,0.02531
1440,0.0,0.02725958824157715,0.0,0.06574320793151855,0.003146648406982422,3,3,6,0,1,3,0.02827,0.09713
