sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.0,0.0,0.0,0.003157377243041992,0,0,0,0,0,0,0.0,0.00265
60,0.0,0.11716175079345703,0.0,0.06615304946899414,0.0026617050170898438,0,0,28,0,3,0,0.25159,0.18759
120,0.0,0.05423426628112793,0.0015728473663330078,0.03948712348937988,0.0032160282135009766,7,6,25,0,3,2,0.26172,0.10164
180,0.0,0.09233236312866211,0.007236957550048828,0.05888772010803223,0.003812551498413086,10,10,37,0,5,3,0.51417,0.16435
240,0.0,0.06816720962524414,0.01876974105834961,0.06715917587280273,0.0032563209533691406,9,13,25,0,3,7,0.14204,0.16057
300,0.0,0.059977054595947266,0.0,0.027190685272216797,0.004706621170043945,14,12,30,0,4,7,0.10062,0.09424
360,0.0,0.10453343391418457,0.0015676021575927734,0.18117666244506836,0.004847526550292969,9,12,32,0,5,8,0.40005,0.29565
420,0.0,0.038724422454833984,0.04359602928161621,0.037818193435668945,0.003322124481201172,21,23,34,0,5,8,0.30333,0.12638
480,0.0,0.0,0.025577306747436523,0.031152725219726562,0.0032520294189453125,22,21,25,0,4,6,0.0,0.06466
540,0.0,0.0943002700805664,0.0025904178619384766,0.12541794776916504,0.0031142234802246094,4,4,25,0,4,4,0.16449,0.22868
600,0.0,0.08867263793945312,0.001653432846069336,0.0724480152130127,0.004290580749511719,13,17,36,0,5,6,0.27309999999999995,0.16978
660,0.0,0.1650848388671875,0.0016055107116699219,0.26193690299987793,0.00357818603515625,5,11,52,0,8,8,0.32506999999999997,0.43632
720,0.0,0.0,0.0020036697387695312,0.0,0.0036339759826660156,14,14,14,0,3,13,0.0,0.00841
780,0.0,0.03730297088623047,0.0,0.1024625301361084,0.003139972686767578,8,11,16,0,3,12,0.06615,0.14756
840,0.0,0.028135299682617188,0.00032258033752441406,0.06892967224121094,0.0031592845916748047,10,10,18,0,3,11,0.08216,0.10327
900,0.0,0.03267526626586914,0.0016090869903564453,0.0178530216217041,0.0032072067260742188,11,11,19,0,3,8,0.05414,0.05885
960,0.0,0.028917551040649414,0.0016324520111083984,0.022552013397216797,0.0037975311279296875,12,13,21,0,3,8,0.03624,0.05833
1020,0.0,0.031624794006347656,0.0,0.04535317420959473,0.003155946731567383,9,11,22,0,3,7,0.06991,0.08197
1080,0.0,0.11815476417541504,0.0015723705291748047,0.09859728813171387,0.004649162292480469,6,7,34,0,5,5,0.43297,0.22604
1140,0.0,0.036539554595947266,0.012646913528442383,0.11115145683288574,0.008757829666137695,25,26,37,0,5,4,0.07064,0.17181
1200,0.0,0.06601071357727051,0.0,0.012644767761230469,0.003420114517211914,8,9,22,0,3,6,0.10705,0.08626
1260,0.0,0.0409853458404541,0.020115137100219727,0.03119039535522461,0.0031805038452148438,12,11,17,0,3,6,0.04242,0.09938
