sim_time,reservation_time_trigger,repositioning_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.0,0.0,0.0,0.0,0.0031385421752929688,0,0,0,0,0,0,0.0,0.00263
60,0.0,0.0,0.03657698631286621,0.0,0.1340775489807129,0.0045833587646484375,0,0,48,0,3,0,0.11586,0.17669
120,0.0,0.0,0.040712594985961914,0.016914844512939453,0.13923931121826172,0.0041921138763427734,40,31,74,0,5,0,0.27974,0.20328
180,0.0,0.0,0.09587883949279785,0.01841115951538086,0.2938661575317383,0.004861116409301758,25,18,68,0,6,2,0.4001,0.41475
240,0.0,0.0,0.02990579605102539,0.05794787406921387,0.10081124305725098,0.0045816898345947266,37,25,55,0,7,3,0.20809,0.19652
300,0.0,0.0,0.05207371711730957,0.038591623306274414,0.056903839111328125,0.004107475280761719,34,28,62,0,8,4,0.06634999999999999,0.15505
360,0.0,0.0,0.08322310447692871,0.013892173767089844,0.24439573287963867,0.0063059329986572266,28,26,75,0,8,6,0.56154,0.35315
420,0.0,0.0,0.03480720520019531,0.0377349853515625,0.0702052116394043,0.003511667251586914,40,31,43,0,7,7,0.20865,0.15084
480,0.0,0.0,0.0,0.0015711784362792969,0.0015654563903808594,0.004736185073852539,15,15,17,0,3,10,0.0,0.01097
540,0.0,0.0,0.10540366172790527,0.0015621185302734375,0.22400116920471191,0.004791975021362305,8,14,33,0,4,11,0.20808,0.33805
600,0.0,0.0,0.09542489051818848,0.001047372817993164,0.1160433292388916,0.004781007766723633,13,17,47,0,5,10,0.30706,0.22141
660,0.0,0.0,0.166243314743042,0.0005066394805908203,0.2685575485229492,0.005071401596069336,18,18,67,0,8,10,0.27954999999999997,0.44455
720,0.0,0.0,0.0,0.010378122329711914,0.03165936470031738,0.003132343292236328,20,18,21,0,4,12,0.0,0.04946
780,0.0,0.0,0.03777050971984863,0.0033626556396484375,0.11810851097106934,0.0031876564025878906,10,12,17,0,1,13,0.0991,0.1655
840,0.0,0.0,0.028954029083251953,0.0,0.022504091262817383,0.003139972686767578,10,12,19,0,1,11,0.11009,0.05783
900,0.0,0.0,0.035891056060791016,0.0010101795196533203,0.006100177764892578,0.0035746097564697266,14,15,25,0,2,9,0.03857,0.04881
960,0.0,0.0,0.02884984016418457,0.0,0.019816875457763672,0.003083467483520508,6,8,16,0,1,8,0.03506,0.05416
1020,0.0,0.0,0.033525705337524414,0.0010182857513427734,0.0015301704406738281,0.0031299591064453125,6,6,16,0,1,8,0.05643,0.04261
1080,0.0,0.0,0.12108659744262695,0.0,0.0871422290802002,0.0047435760498046875,4,4,39,0,3,5,0.26528,0.21468
1140,0.0,0.0,0.032607316970825195,0.01601433753967285,0.06752324104309082,0.003084897994995117,4,4,14,0,1,5,0.0356,0.12079
1200,0.0,0.0,0.06765961647033691,0.017249107360839844,0.033002376556396484,0.0030465126037597656,12,11,34,0,3,5,0.08527,0.1233
1260,0.0,0.0,0.03856348991394043,0.0025577545166015625,0.022820711135864258,0.003046274185180664,11,9,19,0,2,6,0.05842,0.06927
1320,0.0,0.0,0.14417266845703125,0.0020704269409179688,0.128556489944458,0.0045566558837890625,11,10,64,0,5,7,0.34463,0.28263
1380,0.0,0.0,0.05263161659240723,0.015737295150756836,0.021895647048950195,0.0031156539916992188,18,18,45,0,4,9,0.07504,0.09788
1440,0.0,0.0,0.09769463539123535,0.03548622131347656,0.051792144775390625,0.004819154739379883,24,23,60,0,6,7,0.13199,0.19286
1500,0.0,0.0,0.053226470947265625,0.001589059829711914,0.020321130752563477,0.0033791065216064453,9,11,28,0,2,10,0.05978,0.08147
1560,0.0,0.0,0.0955042839050293,0.005110502243041992,0.04036092758178711,0.004652500152587891,15,17,46,0,4,10,0.10332,0.14926
1620,0.0,0.0,0.09819531440734863,0.003137826919555664,0.16248202323913574,0.0031027793884277344,13,13,43,0,5,7,0.11058,0.27075
1680,0.0,0.0,0.036637067794799805,0.04886174201965332,0.09161972999572754,0.003281116485595703,33,30,63,0,7,6,0.07569000000000001,0.18576
1740,0.0,0.0,0.05435347557067871,0.11233711242675781,0.07514619827270508,0.0047760009765625,51,39,77,0,9,5,0.23552,0.2507
1800,0.0,0.0,0.10243988037109375,0.01996159553527832,0.10496973991394043,0.0047855377197265625,14,20,46,0,6,8,0.13977,0.23654
1860,0.0,0.0,0.025341033935546875,0.02976202964782715,0.05111336708068848,0.0035500526428222656,19,17,24,0,4,10,0.04155,0.11312
1920,0.0,0.0,0.09145212173461914,0.0020346641540527344,0.04212212562561035,0.004067897796630859,11,13,34,0,5,11,0.1397,0.14314
1980,0.0,0.0,0.03625130653381348,0.028987407684326172,0.04910087585449219,0.0031490325927734375,24,23,31,0,5,12,0.04003,0.12242
2040,0.0,0.0,0.08334136009216309,0.0005085468292236328,0.0478513240814209,0.004952192306518555,16,16,43,0,5,12,0.16421,0.14037
2100,0.0,0.0,0.0,0.0005054473876953125,0.0010197162628173828,0.003130197525024414,10,10,10,0,1,13,0.0,0.00892
2160,0.0,0.0,0.033106327056884766,0.0015163421630859375,0.005555391311645508,0.0030412673950195312,9,9,18,0,1,11,0.07359,0.04604
2220,0.0,0.0,0.029846906661987305,0.0005064010620117188,0.005612373352050781,0.004179716110229492,12,14,26,0,2,8,0.03085,0.04246
2280,0.0,0.0,0.10260820388793945,0.0,0.01165318489074707,0.004018545150756836,7,7,38,0,3,8,0.11179000000000001,0.12029
2340,0.0,0.0,0.11959075927734375,0.0031669139862060547,0.05181574821472168,0.004738330841064453,10,10,42,0,4,8,0.17764,0.18337
2400,0.0,0.0,0.07825994491577148,0.004688739776611328,0.01113581657409668,0.00519561767578125,12,12,35,0,4,6,0.08286,0.10223
2460,0.0,0.0,0.0,0.0,0.0015501976013183594,0.0029625892639160156,14,13,13,0,1,8,0.0,0.00648
2520,0.0,0.0,0.1745917797088623,0.0005044937133789062,0.04466605186462402,0.00455021858215332,9,10,65,0,6,7,0.21012999999999998,0.22742
2580,0.0,0.0,0.0,0.05698370933532715,0.029937028884887695,0.004672527313232422,35,33,37,0,4,6,0.0,0.09387
2640,0.0,0.0,0.05793190002441406,0.0,0.013789653778076172,0.004666328430175781,12,14,35,0,3,8,0.0618,0.0787
2700,0.0,0.0,0.06604766845703125,0.0029649734497070312,0.006184816360473633,0.003117799758911133,9,8,24,0,3,7,0.06945,0.0816
2760,0.0,0.0,0.11821317672729492,0.0017976760864257812,0.05935072898864746,0.004197120666503906,12,14,53,0,5,9,0.1406,0.18652
2820,0.0,0.0,0.0,0.00631403923034668,0.02469491958618164,0.0031402111053466797,25,25,29,0,3,9,0.0,0.03784
2880,0.0,0.0,0.0,0.012085437774658203,0.01660895347595215,0.003030061721801758,14,11,13,0,2,7,0.0,0.03436
2940,0.0,0.0,0.06355643272399902,0.0005087852478027344,0.017240524291992188,0.0035390853881835938,7,9,26,0,3,8,0.06845,0.08759
3000,0.0,0.0,0.028943538665771484,0.001016378402709961,0.0065975189208984375,0.005620241165161133,10,10,29,0,2,7,0.0308,0.04409
3060,0.0,0.0,0.09502720832824707,0.008831262588500977,0.03209853172302246,0.004763603210449219,20,16,62,0,5,4,0.10335,0.14427
3120,0.0,0.0,0.0623166561126709,0.003139019012451172,0.019410133361816406,0.004677295684814453,10,11,30,0,3,6,0.08316000000000001,0.09126
3180,0.0,0.0,0.06523609161376953,0.00156402587890625,0.014803647994995117,0.003134012222290039,12,10,26,0,3,7,0.13829999999999998,0.08829
3240,0.0,0.0,0.06324028968811035,0.0,0.013654232025146484,0.003150463104248047,15,14,33,0,4,8,0.06706000000000001,0.08261
3300,0.0,0.0,0.0,0.036374568939208984,0.006926536560058594,0.002635955810546875,18,14,17,0,3,7,0.0,0.05014
3360,0.0,0.0,0.06029677391052246,0.004561424255371094,0.04875326156616211,0.003064393997192383,7,9,31,0,4,5,0.07639,0.11886
3420,0.0,0.0,0.0393216609954834,0.02065134048461914,0.04423666000366211,0.0031478404998779297,22,22,34,0,3,6,0.0423,0.11069
3480,0.0,0.0,0.1051173210144043,0.0,0.024519681930541992,0.0032758712768554688,10,12,42,0,4,6,0.17923,0.13614
3540,0.0,0.0,0.10181570053100586,0.0035369396209716797,0.02961134910583496,0.003124713897705078,8,9,37,0,4,7,0.18803,0.14058
3600,0.0,0.0,0.0,0.0030465126037597656,0.0,0.003069162368774414,17,15,15,0,2,9,0.0,0.00858
3660,0.0,0.0,0.08907818794250488,0.0017790794372558594,0.1115877628326416,0.0031261444091796875,12,12,38,0,4,9,0.15438000000000002,0.20967
3720,0.0,0.0,0.03923988342285156,0.0015137195587158203,0.018147945404052734,0.003027677536010742,13,15,25,0,2,10,0.04337,0.0653
3780,0.0,0.0,0.052315473556518555,0.0005059242248535156,0.01879715919494629,0.003553628921508789,8,10,25,0,2,9,0.060160000000000005,0.07799
3840,0.0,0.0,0.07411503791809082,0.0015213489532470703,0.048274993896484375,0.004048824310302734,10,11,37,0,3,7,0.07783,0.13086
3900,0.0,0.0,0.022867918014526367,0.0015561580657958984,0.004687786102294922,0.0015749931335449219,6,8,16,0,1,7,0.02415,0.03432
3960,0.0,0.0,0.0,0.0019571781158447266,0.0,0.0020303726196289062,6,6,6,0,0,7,0.0,0.0054
4020,0.0,0.0,0.05596518516540527,0.0005581378936767578,0.009347677230834961,0.004781246185302734,5,5,29,0,2,6,0.05817,0.07185
4080,0.0,0.0,0.03101825714111328,0.002529621124267578,0.0015249252319335938,0.0015726089477539062,5,7,17,0,1,6,0.03284,0.03946
4140,0.0,0.0,0.05430197715759277,0.0010290145874023438,0.008790969848632812,0.005976676940917969,4,6,28,0,2,5,0.058249999999999996,0.07152
4200,0.0,0.0,0.07057046890258789,0.0,0.00420832633972168,0.003181934356689453,4,4,24,0,2,4,0.0721,0.08015
4260,0.0,0.0,0.03568077087402344,0.0016145706176757812,0.0015444755554199219,0.0031223297119140625,5,5,15,0,1,5,0.05514,0.0448
4320,0.0,0.0,0.030126094818115234,0.0018687248229980469,0.005593538284301758,0.0035495758056640625,12,10,26,0,2,4,0.03382,0.04337
4380,0.0,0.0,0.0,0.0010058879852294922,0.0,0.0015511512756347656,4,4,4,0,0,4,0.0,0.0045
4440,0.0,0.0,0.06343865394592285,0.0005037784576416016,0.004583597183227539,0.003038644790649414,4,4,25,0,2,4,0.06962,0.07422
4500,0.0,0.0,0.0,0.0005071163177490234,0.0,0.0025250911712646484,5,5,5,0,0,5,0.0,0.00498
4560,0.0,0.0,0.0,0.0,0.0,0.003023386001586914,4,4,4,0,0,4,0.0,0.00446
4620,0.0,0.0,0.07139015197753906,0.0,0.006143331527709961,0.0030336380004882812,4,4,18,0,2,4,0.07322999999999999,0.08283
4680,0.0,0.0,0.12059950828552246,0.0,0.07661104202270508,0.004815816879272461,8,7,59,0,5,4,0.13152,0.20499
4740,0.0,0.0,0.03881716728210449,0.08402609825134277,0.006135463714599609,0.004073381423950195,21,16,32,0,4,4,0.04134,0.13541
4800,0.0,0.0,0.07118654251098633,0.004362344741821289,0.009177446365356445,0.0035047531127929688,13,10,33,0,4,5,0.07887,0.09135
4860,0.0,0.0,0.030690670013427734,0.0010066032409667969,0.0020172595977783203,0.0030317306518554688,6,8,13,0,1,7,0.03307,0.03896
4920,0.0,0.0,0.024914979934692383,0.0,0.0034224987030029297,0.0031499862670898438,6,6,14,0,1,7,0.02749,0.03397
4980,0.0,0.0,0.04027247428894043,0.0015137195587158203,0.0015130043029785156,0.003028392791748047,4,6,15,0,1,6,0.04198,0.04822
5040,0.0,0.0,0.07248950004577637,0.0005056858062744141,0.008566856384277344,0.003038167953491211,4,4,26,0,2,5,0.07667,0.08753
5100,0.0,0.0,0.10005378723144531,0.00151824951171875,0.0170748233795166,0.0050716400146484375,4,4,29,0,3,5,0.10522999999999999,0.12665
5160,0.0,0.0,0.0671999454498291,0.017087936401367188,0.01176142692565918,0.0034797191619873047,12,12,35,0,3,6,0.0712,0.1013
5220,0.0,0.0,0.04022216796875,0.016819000244140625,0.00557708740234375,0.003534555435180664,12,13,26,0,2,7,0.04037,0.06843
5280,0.0,0.0,0.06378817558288574,0.0045354366302490234,0.022182941436767578,0.003535747528076172,20,16,44,0,4,6,0.06508,0.09684
5340,0.0,0.0,0.03624320030212402,0.00622248649597168,0.014211177825927734,0.003256082534790039,14,12,23,0,3,7,0.04025,0.06351
5400,0.0,0.0,0.037750959396362305,0.0030214786529541016,0.03174781799316406,0.0030541419982910156,14,16,27,0,3,6,0.04012,0.07857
5460,0.0,0.0,0.06544041633605957,0.0005037784576416016,0.058294057846069336,0.003170013427734375,21,20,43,0,5,5,0.07236999999999999,0.13094
5520,0.0,0.0,0.027042150497436523,0.009315967559814453,0.011405706405639648,0.0031647682189941406,16,14,28,0,3,4,0.0274,0.05246
5580,0.0,0.0,0.0561983585357666,0.00560450553894043,0.003995418548583984,0.0030717849731445312,11,9,25,0,3,5,0.06470000000000001,0.07197
