sim_time,reservation_time_trigger,repositioning_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.433,0.0,0.0,0.0,0.0018589496612548828,0,0,0,0,0,0,0.0,0.00324
60,0.0,0.0,0.03860592842102051,0.0,0.07384490966796875,0.004822492599487305,0,0,38,0,3,0,0.20118999999999998,0.11862
120,0.0,0.0,0.057092905044555664,0.015402555465698242,0.11095714569091797,0.0042836666107177734,17,17,45,0,4,1,0.31216,0.19095
180,0.0,0.0,0.11381244659423828,0.003161907196044922,0.303739070892334,0.003197193145751953,15,11,43,0,5,3,0.4444,0.42937
240,0.0,0.0,0.05662846565246582,0.0357663631439209,0.19765830039978027,0.00471949577331543,35,26,56,0,7,3,0.25838,0.30102
300,0.0,0.024,0.06673336029052734,0.05517292022705078,0.09789228439331055,0.006378650665283203,27,26,56,0,7,5,0.07013,0.23068
360,0.0,0.0,0.11102151870727539,0.011560916900634766,0.18251323699951172,0.004831790924072266,22,19,63,0,7,6,0.57824,0.31394
420,0.0,0.0,0.03812241554260254,0.05105423927307129,0.028499126434326172,0.0034630298614501953,37,27,38,0,6,7,0.25901,0.1245
480,0.0,0.0,0.0,0.0020682811737060547,0.0031969547271728516,0.0031321048736572266,12,12,12,0,2,10,0.0,0.01162
540,0.0,0.0,0.11243391036987305,0.003145456314086914,0.21694707870483398,0.003535747528076172,7,13,31,0,4,10,0.24332,0.34032
600,0.0,0.019,0.109710693359375,0.001619577407836914,0.16477012634277344,0.004755735397338867,18,21,58,0,6,9,0.35128,0.28424
660,0.0,0.0,0.17487478256225586,0.009490728378295898,0.2492825984954834,0.006422758102416992,22,19,80,0,9,8,0.42102999999999996,0.44424
720,0.0,0.0,0.0,0.015789031982421875,0.08107590675354004,0.004819154739379883,22,16,22,0,4,9,0.0,0.10496
780,0.0,0.0,0.0410306453704834,0.0,0.1330859661102295,0.0031430721282958984,12,14,20,0,3,11,0.12398,0.18005
840,0.0,0.0,0.02656102180480957,0.0,0.029801368713378906,0.003423929214477539,13,14,22,0,2,13,0.07489,0.06178
900,0.0,0.017,0.03362894058227539,0.0010080337524414062,0.01730060577392578,0.004598140716552734,10,11,23,0,2,8,0.03755,0.05854
960,0.0,0.0,0.029761314392089844,0.0030570030212402344,0.008076906204223633,0.003141641616821289,12,12,22,0,2,9,0.03435,0.04681
1020,0.0,0.0,0.030887365341186523,0.0,0.007984638214111328,0.0031478404998779297,14,15,25,0,2,9,0.05067,0.04531
1080,0.0,0.0,0.11528491973876953,0.002597332000732422,0.06742215156555176,0.00469517707824707,10,8,56,0,5,2,0.264,0.19161
1140,0.0,0.0,0.03264594078063965,0.017343759536743164,0.021775484085083008,0.0031769275665283203,6,6,16,0,1,7,0.11115,0.07798
1200,0.0,0.021,0.06397819519042969,0.01727461814880371,0.012424945831298828,0.006500959396362305,13,11,33,0,3,6,0.08436,0.10413
1260,0.0,0.0,0.040288448333740234,0.0031461715698242188,0.006206035614013672,0.0031206607818603516,7,7,14,0,1,8,0.04452,0.05637
1320,0.0,0.0,0.14159846305847168,0.0015683174133300781,0.11490797996520996,0.00494074821472168,11,11,65,0,5,7,0.39671,0.26613
1380,0.0,0.0,0.06072378158569336,0.011258363723754883,0.04142284393310547,0.005342960357666016,43,42,81,0,6,7,0.08738,0.12156
1440,0.0,0.0,0.09555387496948242,0.01743793487548828,0.07705283164978027,0.004858255386352539,25,25,60,0,6,8,0.13246,0.19927
1500,0.0,0.02,0.051541805267333984,0.0005040168762207031,0.014326333999633789,0.0035750865936279297,13,15,35,0,3,8,0.057139999999999996,0.07369
1560,0.0,0.0,0.08224606513977051,0.0010187625885009766,0.01578831672668457,0.006134510040283203,7,11,33,0,3,10,0.08816,0.10831
1620,0.0,0.0,0.07278656959533691,0.0040988922119140625,0.04672646522521973,0.004733085632324219,17,19,40,0,4,9,0.1254,0.13223
