sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.0,0.0,0.0,0.024832963943481445,0,0,0,0,0,0,0.0,0.02502
60,0.0,0.16137385368347168,0.0,0.1342153549194336,0.0031266212463378906,0,0,13,0,3,0,0.09664,0.30063
120,0.0,0.054105281829833984,0.0,0.06595611572265625,0.0032074451446533203,3,3,12,0,3,2,0.11816000000000002,0.12638
180,0.0,0.13872051239013672,0.0,0.19814682006835938,0.005023956298828125,5,6,18,0,4,4,0.13728,0.34403
240,0.0,0.12879371643066406,0.011230707168579102,0.14452362060546875,0.003071308135986328,8,10,17,0,4,6,0.05029,0.28953
300,0.0,0.05754804611206055,0.016527891159057617,0.041356801986694336,0.003071308135986328,8,10,19,0,4,7,0.04695,0.12201
360,0.0,0.1416788101196289,0.0010085105895996094,0.12483787536621094,0.0015883445739746094,8,12,21,0,5,8,0.09981999999999999,0.27427
420,0.0,0.05886077880859375,0.0033173561096191406,0.14146041870117188,0.0031921863555908203,15,17,24,0,6,7,0.05056,0.21032
480,0.0,0.0,0.006102085113525391,0.04408669471740723,0.0030965805053710938,14,14,18,0,5,4,0.0,0.05621
540,0.0,0.0922234058380127,0.0,0.11787605285644531,0.0030410289764404297,6,6,13,0,4,5,0.09348999999999999,0.21527
600,0.0,0.03159499168395996,0.0,0.07758951187133789,0.003036975860595703,9,11,16,0,4,6,0.25708,0.11584
660,0.0,0.13019418716430664,0.0015616416931152344,0.1691446304321289,0.005286216735839844,6,14,18,0,6,8,0.19604,0.30949
720,0.0,0.0,0.0,0.00466609001159668,0.0032722949981689453,11,11,11,0,3,10,0.0,0.01157
780,0.0,0.0,0.0,0.0034439563751220703,0.0031592845916748047,9,9,9,0,2,8,0.03517,0.00915
840,0.0,0.02794790267944336,0.0,0.01112675666809082,0.0031349658966064453,7,9,11,0,2,8,0.03054,0.04458
900,0.0,0.033760786056518555,0.0,0.014632701873779297,0.003047466278076172,10,12,14,0,3,7,0.02555,0.05393
960,0.0,0.02168893814086914,0.0005071163177490234,0.004041433334350586,0.004058122634887695,8,6,13,0,3,4,0.01873,0.03293
1020,0.0,0.031362056732177734,0.0,0.03542685508728027,0.0031783580780029297,5,7,10,0,1,7,0.02656,0.0721
1080,0.0,0.10965371131896973,0.0,0.146636962890625,0.0032095909118652344,6,6,23,0,4,5,0.14576999999999998,0.26301
1140,0.0,0.08022475242614746,0.01872563362121582,0.008091449737548828,0.0030117034912109375,6,8,11,0,2,6,0.02756,0.11378
1200,0.0,0.0631263256072998,0.016553640365600586,0.003652811050415039,0.004076719284057617,6,6,10,0,3,6,0.10107000000000001,0.08891
1260,0.0,0.03369426727294922,0.0015363693237304688,0.0030524730682373047,0.0025320053100585938,7,7,10,0,3,6,0.02902,0.04306
1320,0.0,0.13535523414611816,0.002098560333251953,0.17556166648864746,0.002988576889038086,5,9,21,0,6,7,0.16147,0.3191
1380,0.0,0.06139326095581055,0.004134654998779297,0.09122872352600098,0.004614114761352539,15,17,27,0,7,7,0.04925,0.16469
1440,0.0,0.11283349990844727,0.0,0.09413933753967285,0.004076719284057617,9,14,23,0,6,9,0.07941999999999999,0.21364
1500,0.0,0.060608625411987305,0.0005066394805908203,0.02878427505493164,0.004061222076416016,10,12,24,0,6,6,0.06887,0.09706
1560,0.0,0.07863736152648926,0.0015282630920410156,0.03660273551940918,0.0030694007873535156,8,10,19,0,4,9,0.06788999999999999,0.12461
1620,0.0,0.06742644309997559,0.0,0.027916431427001953,0.0032286643981933594,8,10,13,0,3,12,0.08147,0.10282
1680,0.0,0.02268528938293457,0.0,0.10856270790100098,0.0042154788970947266,8,8,10,0,3,9,0.03659,0.13889
1740,0.0,0.05210590362548828,0.0032317638397216797,0.02223491668701172,0.003183603286743164,8,10,14,0,5,8,0.07884,0.08333
1800,0.0,0.07743239402770996,0.0015950202941894531,0.017385005950927734,0.0031020641326904297,10,14,17,0,5,10,0.07406,0.10371
1860,0.0,0.02979564666748047,0.002551555633544922,0.019133567810058594,0.004655361175537109,13,15,19,0,5,9,0.04942,0.06043
1920,0.0,0.0843508243560791,0.0031402111053466797,0.29990601539611816,0.003077983856201172,11,15,29,0,8,6,0.07459,0.39486
1980,0.0,0.039919137954711914,0.009495735168457031,0.03992438316345215,0.00324249267578125,14,15,24,0,8,5,0.03753,0.09507
2040,0.0,0.08955240249633789,0.009030342102050781,0.11696624755859375,0.0030295848846435547,11,13,21,0,6,8,0.04037,0.2217
2100,0.0,0.0,0.01227426528930664,0.0010039806365966797,0.003027677536010742,14,14,14,0,5,7,0.0,0.01942
2160,0.0,0.03476285934448242,0.0,0.009823799133300781,0.006417512893676758,9,11,15,0,3,10,0.02499,0.05353
2220,0.0,0.0352931022644043,0.007575273513793945,0.023719072341918945,0.0030596256256103516,10,10,19,0,3,7,0.01969,0.07265
2280,0.0,0.09620141983032227,0.0,0.004725933074951172,0.004777431488037109,9,9,23,0,4,8,0.07497000000000001,0.10859
2340,0.0,0.07303142547607422,0.005205631256103516,0.052207231521606445,0.01464390754699707,10,10,14,0,4,8,0.09765,0.14929
