sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.0,0.0,0.0,0.037705183029174805,0,0,0,0,0,0,0.0,0.03716
60,0.0,0.0,0.0,0.0,0.0031774044036865234,0,0,0,0,0,0,0.0,0.00297
120,0.0,0.0,0.0,0.0,0.0031468868255615234,0,0,0,0,0,0,0.0,0.00299
180,0.0,0.057370901107788086,0.0,0.040540218353271484,0.004718303680419922,0,0,12,2,0,0,8.999999999999999e-05,0.10399
240,0.0,0.0,0.0,0.0,0.0031044483184814453,12,6,6,0,2,0,0.0,0.00467
300,0.0,0.0345458984375,0.0,0.039656639099121094,0.0031697750091552734,6,3,11,1,2,0,6e-05,0.07906
360,0.0,0.050579071044921875,0.0,0.17481017112731934,0.004742622375488281,6,5,17,2,1,2,6.000000000000001e-05,0.23153
420,0.0,0.0,0.019483327865600586,0.0,0.003072500228881836,6,5,5,0,1,4,0.0,0.02379
480,0.0,0.0,0.009455442428588867,0.015686750411987305,0.004807233810424805,4,4,4,0,1,3,0.0,0.03137
540,0.0,0.0,0.003145456314086914,0.0016684532165527344,0.0020461082458496094,3,3,3,0,0,4,0.0,0.00738
600,0.0,0.0,0.0015919208526611328,0.0,0.0015635490417480469,2,2,2,0,0,3,0.0,0.00446
660,0.0,0.009856700897216797,0.0015795230865478516,0.003216981887817383,0.003905773162841797,2,2,7,1,0,3,4e-05,0.01901
720,0.0,0.0,0.0,0.0,0.0016627311706542969,3,3,3,0,0,3,0.0,0.00367
780,0.0,0.0,0.0,0.0,0.0016198158264160156,1,1,1,0,0,1,0.0,0.00316
840,0.0,0.06514501571655273,0.0,0.031984806060791016,0.003187894821166992,0,0,8,2,0,0,8e-05,0.10225
900,0.0,0.022958040237426758,0.012610435485839844,0.2740046977996826,0.0048122406005859375,8,4,14,2,2,0,7.000000000000001e-05,0.31629
960,0.0,0.02392435073852539,0.00811004638671875,0.08662104606628418,0.0032334327697753906,9,7,15,1,3,1,6e-05,0.12385
1020,0.0,0.0,0.004736661911010742,0.0,0.0031828880310058594,5,5,5,0,2,3,0.0,0.00891
1080,0.0,0.07060790061950684,0.0,0.26871490478515625,0.003223419189453125,4,4,9,2,1,4,9.999999999999999e-05,0.34388
1140,0.0,0.03741717338562012,0.0,0.18296551704406738,0.003151416778564453,7,7,10,1,2,4,6e-05,0.22603
1200,0.0,0.025460481643676758,0.0,0.1125786304473877,0.003159046173095703,6,6,9,1,2,4,6e-05,0.14407
1260,0.0,0.0,0.0018203258514404297,0.0,0.0019538402557373047,8,8,8,0,2,5,0.0,0.00591
1320,0.0,0.03596353530883789,0.0,0.2503376007080078,0.0032126903533935547,7,7,11,1,1,5,4e-05,0.2909
1380,0.0,0.0,0.001558542251586914,0.021544694900512695,0.003105640411376953,6,6,8,0,2,3,0.0,0.02852
1440,0.0,0.02999281883239746,0.0,0.07660961151123047,0.003153562545776367,3,3,6,1,0,3,4e-05,0.11092
1500,0.0,0.09774112701416016,0.0015683174133300781,0.2762773036956787,0.004706859588623047,6,6,22,3,1,3,0.00015000000000000001,0.38294
1560,0.0,0.02633953094482422,0.003281116485595703,0.047693490982055664,0.001983642578125,9,9,15,1,2,5,5e-05,0.08282
1620,0.0,0.03756070137023926,0.001538991928100586,0.08327150344848633,0.003167390823364258,3,4,14,2,1,4,7.000000000000001e-05,0.12773
1680,0.0,0.11128044128417969,0.0016062259674072266,0.3412458896636963,0.003885030746459961,6,6,23,3,2,4,0.0001,0.46033
1740,0.0,0.0,0.11357736587524414,0.00698399543762207,0.006805419921875,22,17,17,0,5,3,0.0,0.13088
1800,0.0,0.0,0.006100654602050781,0.0015301704406738281,0.006097555160522461,8,8,9,0,3,3,0.0,0.01791
1860,0.0,0.0,0.0015628337860107422,0.014403343200683594,0.0031058788299560547,5,5,5,0,2,3,0.0,0.02178
1920,0.0,0.0,0.0,0.0,0.0030944347381591797,5,5,5,0,1,4,0.0,0.00515
1980,0.0,0.0,0.0,0.0015478134155273438,0.0016629695892333984,4,4,4,0,0,4,0.0,0.00493
2040,0.0,0.07072782516479492,0.0005285739898681641,0.0185086727142334,0.005148410797119141,3,3,10,2,0,3,7.000000000000001e-05,0.09639
2100,0.0,0.020417213439941406,0.0015141963958740234,0.06942057609558105,0.003050088882446289,10,10,14,1,2,3,6e-05,0.09655
2160,0.0,0.013724565505981445,0.035704851150512695,0.014179706573486328,0.003040790557861328,11,10,16,1,3,2,4e-05,0.06868
2220,0.0,0.0,0.03331279754638672,0.0016314983367919922,0.0031435489654541016,9,7,9,0,3,2,0.0,0.03904
2280,0.0,0.030557632446289062,0.0,0.03978371620178223,0.0033605098724365234,4,3,7,1,1,3,4e-05,0.07511
2340,0.0,0.029961585998535156,0.0015757083892822266,0.023273468017578125,0.0033473968505859375,5,5,9,1,1,2,6e-05,0.05963
2400,0.0,0.014377355575561523,0.001550912857055664,0.022121906280517578,0.001920461654663086,6,5,10,1,1,3,4e-05,0.04189
2460,0.0,0.03655838966369629,0.017372846603393555,0.10558557510375977,0.0031595230102539062,7,7,13,1,2,2,4e-05,0.16503
2520,0.0,0.03289985656738281,0.02654552459716797,0.10970234870910645,0.0031790733337402344,7,4,8,1,2,3,4e-05,0.17495
2580,0.0,0.0336301326751709,0.0015447139739990234,0.05126786231994629,0.0015735626220703125,6,6,13,1,2,2,6e-05,0.09026
